point_id,task_id,step,base_action,foresight_action,action_changed,wm_prediction,self_confidence,semantic_correctness,base_success,foresight_success,planning_gain,ambiguity,confidence_separate,logprob_prob,base_action_is_noop
D00001,trial_T20190909_044715_250790,0,go to desk 1,go to desk 1,False,"You are at desk 1. Under the desklamp, you see an alarmclock.",0.95,0.7032139897346497,True,True,0,0.0,0.8,0.9636172592203115,False
D00002,trial_T20190909_044715_250790,1,use desklamp 1,use desklamp 1,False,"The desklamp 1 turns on, illuminating the alarmclock 2, book 1, bowl 1, cd 2, mug 2, mug 1, pen 2, and pen 1 on the desk.",0.97,0.6400236487388611,True,True,0,0.5,0.9,0.9376118549848502,False
D00003,trial_T20190909_044715_250790,2,examine desk 1,examine desk 1,False,see alarmclock under desklamp,0.95,0.509520947933197,True,True,0,0.0,0.7,0.9934895614757594,True
D00004,trial_T20190909_044715_250790,4,use desklamp 1,use desklamp 1,False,The alarmclock 2 is now illuminated by the desklamp 1.,0.95,0.6502636671066284,True,True,0,0.25,0.9,0.9734242258564847,False
D00005,trial_T20190909_044715_250790,5,use desklamp 1,use desklamp 1,False,The alarmclock 2 is now clearly visible under the illuminated desklamp 1.,0.95,0.5597732067108154,True,True,0,0.25,0.8,0.9685222329818158,False
D00006,trial_T20190907_154618_526741,0,go to desk 1,go to desk 1,False,You are now at desk 1. You see a desklamp 1 and a cd 1 on the desk.,0.95,0.55914705991745,False,False,0,0.0,0.9,0.9453945073829148,False
D00007,trial_T20190907_154618_526741,7,look,look,False,You see the creditcard 1 illuminated by the desklamp.,0.95,0.3530544638633728,False,False,0,0.25,0.7,0.9616244619818135,True
D00008,trial_T20190907_154618_526741,14,go to desk 1,go to desk 1,False,You are at desk 1. Nothing new is observed.,0.98,0.4692048132419586,True,True,0,0.25,0.3,0.8718432504418621,False
D00009,trial_T20190907_154618_526741,22,examine cd 1,go to drawer 1,True,There's nothing special about cd 1.,1.0,1.0,False,False,0,0.0,1.0,0.9968682501215816,True
D00010,trial_T20190907_154618_526741,29,look,look,False,"You see the cd 1 under the desklamp, with no visible changes or details.",0.97,0.4869878888130188,True,True,0,0.5,0.7,0.867052728712665,True
