point_id,task_id,step,base_action,foresight_action,action_changed,wm_prediction,self_confidence,semantic_correctness,base_success,foresight_success,planning_gain,ambiguity
D00001,trial_T20190909_044715_250790,0,go to desk 1,go to desk 1,False,"You are at desk 1. Under the desklamp, you see an alarmclock.",0.97,0.7032139897346497,True,True,0,0.0
D00002,trial_T20190909_044715_250790,1,use desklamp 1,use desklamp 1,False,"The desklamp 1 turns on, illuminating the alarmclock 2, book 1, bowl 1, cd 2, mug 2, mug 1, pen 2, and pen 1.",0.97,0.6025707721710205,True,True,0,0.5
D00003,trial_T20190909_044715_250790,2,look,look,False,I see the alarm clock under the desklamp.,0.95,0.48948171734809875,True,True,0,0.5
D00004,trial_T20190909_044715_250790,3,use desklamp 1,use desklamp 1,False,The desk lamp is on and illuminates the alarm clock under it.,0.95,0.46943673491477966,True,True,0,0.0
D00005,trial_T20190907_154618_526741,0,go to desk 1,go to desk 1,False,You are now at desk 1. You see a desklamp 1 and a cd 1 on the desk.,0.95,0.55914705991745,False,False,0,0.0
D00006,trial_T20190907_154618_526741,7,look,go to desk 1,True,You see a creditcard 1 in drawer 2.,0.99,0.5040556192398071,False,False,0,0.5
D00007,trial_T20190907_154618_526741,14,look,go to shelf 1,True,"On the desk 1, you see a alarmclock 1, a book 3, a creditcard 3, a creditcard 2, a pencil 3, a pencil 2, and a pencil 1.",1.0,0.4620656669139862,False,False,0,0.25
D00008,trial_T20190907_154618_526741,22,examine cd 1,examine desk 1,True,You already examined cd 1; no new observation is made.,0.997,0.5319936871528625,False,False,0,0.0
D00009,trial_T20190907_154618_526741,29,look,go to desk 1,True,You see a creditcard 1 in drawer 2.,0.98,0.5040556192398071,False,False,0,0.0
D00010,trial_T20190909_150916_682139,0,go to desk 1,go to desk 1,False,You are now at desk 1. You see a desklamp 1 and a pillow under the desklamp.,0.97,0.6155103445053101,False,False,0,0.0
D00011,trial_T20190909_150916_682139,7,look,look,False,You see a pillow under the desklamp on desk 1.,0.95,0.6524550914764404,False,False,0,0.0
D00012,trial_T20190909_150916_682139,14,go to desk 1,go to desk 1,False,"You arrive at desk 1. On the desk 1, you see a lamp 1, a pen 1, and a notebook 1.",0.95,0.7944464683532715,False,False,0,0.0
D00013,trial_T20190909_150916_682139,22,go to desk 1,go to desk 1,False,"You arrive at desk 1. On the desk 1, you see a lamp 1, a notebook 1, and a pen 1.",0.95,0.7905917763710022,False,False,0,0.0
D00014,trial_T20190909_150916_682139,29,examine pillow 1,look,True,You examine the pillow 1 and notice it is white with a small blue patch on one corner.,0.95,0.5193567276000977,False,True,1,0.0
